dim0,dim1,tissue
-21.550266,90.01066,Cervix
-21.58425,90.00633,Cervix
-23.915236,93.93543,Esophagus
-23.901655,93.93181,Esophagus
-23.89684,93.91084,Esophagus
65.52107,-26.050714,Peripheral Nervous System
65.51564,-26.051012,Peripheral Nervous System
65.734406,-25.858143,Peripheral Nervous System
51.983166,-87.806755,Control_HEK293T
61.1357,-74.2026,Control_HEK293T
129.6064,23.59377,Control_HEK293T
147.93616,39.170654,Control_HEK293T
-14.076972,-129.25844,Haematopoietic and Lymphoid
-14.071654,-129.254,Haematopoietic and Lymphoid
-14.079827,-129.2583,Haematopoietic and Lymphoid
-25.150072,-125.53017,Haematopoietic and Lymphoid
-25.116098,-125.48561,Haematopoietic and Lymphoid
-25.172302,-125.60947,Haematopoietic and Lymphoid
13.044923,60.59388,Stomach
13.034001,60.58985,Stomach
13.034267,60.58427,Stomach
38.711323,-10.029199,Skin
38.708664,-10.032543,Skin
38.70601,-10.026729,Skin
-1.6088288,72.9233,Large Intestine
-1.6049125,72.9305,Large Intestine
-1.6088538,72.93781,Large Intestine
65.26822,-46.5636,Peripheral Nervous System
65.26669,-46.58818,Peripheral Nervous System
65.27097,-46.59428,Peripheral Nervous System
0.35193148,23.065636,Lung
0.35830286,23.057816,Lung
0.35132983,23.062067,Lung
-44.711426,-35.217125,Large Intestine
-44.71114,-35.22078,Large Intestine
-44.71323,-35.219337,Large Intestine
33.948883,-80.60194,Control_HEK293T
45.60343,-75.82078,Control_HEK293T
121.48805,27.051476,Control_HEK293T
135.53242,43.81921,Control_HEK293T
61.514576,-16.898493,Peripheral Nervous System
61.516834,-16.900986,Peripheral Nervous System
61.516006,-16.903782,Peripheral Nervous System
-80.803505,87.913734,Lung
-80.795555,87.91024,Lung
-80.80116,87.91071,Lung
36.518894,-4.802031,Skin
36.518238,-4.803229,Skin
36.52222,-4.8049126,Skin
-20.11061,-132.30151,Haematopoietic and Lymphoid
-20.106047,-132.30127,Haematopoietic and Lymphoid
-20.095285,-132.29906,Haematopoietic and Lymphoid
-9.829268,-129.24733,Haematopoietic and Lymphoid
-9.830862,-129.2478,Haematopoietic and Lymphoid
-9.829372,-129.23811,Haematopoietic and Lymphoid
-28.952166,97.97469,Pancreas
-28.960926,97.978,Pancreas
-28.9559,97.98048,Pancreas
21.832346,-3.810251,Soft Tissue
21.831894,-3.8182547,Soft Tissue
21.831823,-3.8075323,Soft Tissue
50.575214,-83.07193,Control_HEK293T
43.993805,-82.08156,Control_HEK293T
133.53882,25.856462,Control_HEK293T
136.7409,14.4678,Control_HEK293T
-53.644962,87.44108,Pancreas
-53.640293,87.439354,Pancreas
-53.641705,87.4417,Pancreas
42.10214,-5.029831,Pancreas
42.10337,-5.0219765,Pancreas
42.102276,-5.02277,Pancreas
-25.665623,-139.2991,Haematopoietic and Lymphoid
-25.666162,-139.30244,Haematopoietic and Lymphoid
-25.664194,-139.29822,Haematopoietic and Lymphoid
-42.848713,93.59546,Lung
-42.85358,93.59589,Lung
-42.854874,93.59867,Lung
75.23571,-17.017433,Lung
